Condition,message_id,user id,nickname,create_time,comment_text,up_count,down_count,reply_count,Default condition,Signal I- condition1 (Strict),Signal I- condition2 (Loose),Signal II- condition1 (Strict),Signal II- condition2 (Loose)
All neutral,3102,2OPTQUPFVWR6PKI62XRZXH4NHQ,Jason S,1/8/18 15:39,"To any congressman whining about Sessions:   INTRODUCE THE BILL  TO FIX THE LAW SO THAT YOU DONT PUT ANYTHIGN TO THE DISCRETION OF THE AG..  ITS ON YOU TO FIX THE LAW.. That's YOU BOOKER, and anyone else whining about Sessions.. Sessions took and oath to enforce the laws of this country, you want him to break that oath while you don't do your job.. GO F YOURSELF AND FIX THE DAMN LAW ONCE AND FOR ALL",0,0,0,,FLAGED by bot,FLAGED by bot,Malicious Score Given by bot: 88,Malicious Score Given by bot: 88
All neutral,3103,K7XGPPQLY43PZEMTBIJDXKKY3A,TRM,1/7/18 22:14,Jefferson Davis Sessions is a sawed off little runt with a Napoleonic complex. And Corey Booker is a Big Pharma sell out. I have no use for either of them.,0,0,0,,FLAGED by bot,,Malicious Score Given by bot: 85,
All neutral,3001,PVWN2BREJ2GKJFFGPV655B3PYM,Debbie,1/7/18 17:34,"The illeagals need jobs, they'll have growers all over, iliminating middle man tax payers.",0,2,0,,,,,
All neutral,3002,2RPFU6QI4ULYV6ZJRN6VPUEVMI,Kevin,1/7/18 14:47,"""Hands off"" the Obama approach. is a dangerous policy. Congress needs to change the laws or enforce them. Cory needs to get off of his lazy rear end and do hos job.",3,1,0,,,,,
All neutral,3003,TAM4FOK6SVUDFUEDUA42UZW2I4,CJC1970,1/8/18 19:50,"According to federal law, marijuana use, possession, distribution and cultivation is illegal.  The previous justice department under Obama was actually violating federal law by not enforcing it.  The states can legalize it but the feds still have jurisdiction on federal lands and transporting it across state lines, even from one legal state to another.  If senators like Booker want the feds to stay out of it then they need to pass a law to decriminalize it.  Until then the DOJ is just doing its job by enforcing the current laws on the books.",1,1,2,,,,,
All neutral,3004,ZF7QSZAVMAWJHPHBPBIRTTREC4,RichardG,1/8/18 16:47,It is the duty of the Executive branch to execute the laws faithfully.  Obviously Cory Booker has no idea how our Constitutional Republic works.  What the previous administration did was violate their oath of office.  If Congress wishes to change the law that is their prerogative.,0,1,0,,,,,
All neutral,3005,QHJTQXRPH3CF6DAMUFIJ5BY7BY,markus,1/8/18 01:51,"Corey booker was born on the wrong side of history. After the failed obama expurenent, booker will never be elected outside his state.",0,1,0,,,,,
All neutral,3006,NKNDMWHDN3DTEIVWD6NKZXFIQQ,Geoffrey W Bromfield,1/7/18 15:29,Just another brick in the wall.   Make America think again!,0,1,1,,,,,
All neutral,3007,CQ4Z7SMCDQZBTSGCYAPHIAFSXE,David,1/8/18 20:37,"Truth be told, Jefferson probably likes some things that are ""culturally accepted norms"" in Alabama, and punishable offenses in the other 49 states.",3,0,3,,,,,
All neutral,3008,XK7US4KEBDMPCCPFXPJ566JNR4,The Shill Hunter,1/8/18 03:06,Cannabis is a big threat to big pharma.,3,0,0,,,,,
All neutral,3009,VFIWYECILFJDSEQWLGKUE3SHUY,Patriot,1/15/18 04:07,It's Federal law and if they don't like it vote to have it changed. But while it's the law it needs to be enforced. Federal law trumps state laws.,2,0,0,,,,,
All neutral,3010,FARKRNDR4TT3GMW7JT6MHRC2XM,sandman,1/10/18 15:49,Seems like Corey is the one obsessed.  Relaaax bro...,2,0,0,,,,,
All neutral,3011,NYFKQXMT7BHZFP5WKLBSBYIEJA,lsat,1/9/18 23:28,hmmm,1,0,0,,,,,
All neutral,3012,F7QRN5OVXBJW6ZAW7GSS5N53FQ,w,1/18/18 13:44,It the responsibility of the Attorney General to enforce federal laws.,0,0,0,,,,,
All neutral,3013,LE7GRSG3LS3HLSQ6OTFEDJSZDQ,m,1/10/18 02:40,Trojan horse Sessions is trying to commit political suicide with his recent comments on marijuana.. He is way over his head in his role as USAG. He owns to much stock in prisons and is in conflict of interest on marijuana issues.,0,0,0,,,,,
All neutral,3014,NQ7VPFR57FGOD2A6UZGA2RQOWY,George,1/9/18 13:32,"The talking head Congressmen and Senator, The American people pay our elected to change the laws for us, not just talk about it for decades.",0,0,0,,,,,
